"Sample.Point.Code","Date","Hour","Type","Subgroup","Parameter","Species","Operator","Value","Unit","Additional.information","Situation","Level","Depth"
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Disco de Secchi","-","=",7,"m","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Índice de calidad del estado fisicoquímico (IC-IFQ)","-","=",1.029,"-","Muy Bueno","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Ortofosfato","-","=",0.0333,"mg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Benzo(a)pireno","-","<",0.00017,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Perileno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Indeno(1.2.3-cd)pireno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Benzo(g.h.i)perileno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Dibenzo(a.h)antraceno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Mercurio","-","<",0.015,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Hierro","-","<",0.01,"mg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Cromo III+","-","<",0.005,"mg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Cadmio","-","<",0.06,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Cobre","-","<",5,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Manganeso","-","<",0.01,"mg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Níquel","-","<",2.6,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Plomo","-","<",0.39,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Zinc","-","<",9,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Silicato","-","=",2.1,"µmol/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Pireno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Naftaleno","-","<",0.01,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Acenaftileno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Acenafteno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Fluoreno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Fenantreno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Antraceno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Fluoranteno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Benzo(a)antraceno","-","<",5e-04,"µg/l","","L","S",0
"L-A10","30/01/2023","9:32","LITORALES","Aguas (Fisicoquímica)","Criseno","-","<",5e-04,"µg/l","","L","S",0
